specialite_1,specialite_2,of,pct_multi,stag_mean_tam
"Commerce, vente","Ressources humaines, gestion du personnel, gestion de l'emploi",1101,3.6973604674591978,259.8269230769231
"Commerce, vente","Comptabilité, gestion",877,2.9451272751695883,164.35922330097088
"Comptabilité, gestion","Ressources humaines, gestion du personnel, gestion de l'emploi",837,2.8107999194035864,140.23125
Développement des capacités comportementales et relationnelles,Développement des capacités individuelles d'organisation,800,2.686547115320035,306.7837837837838
Développement des capacités comportementales et relationnelles,"Ressources humaines, gestion du personnel, gestion de l'emploi",724,2.4313251393646316,303.9056603773585
Développement des capacités comportementales et relationnelles,"Développement des capacités d'orientation, d'insertion ou de réinsertion sociales et professionnelles",683,2.29363959970448,179.2429906542056
"Commerce, vente",Développement des capacités comportementales et relationnelles,551,1.8503593256766742,375.2111111111111
"Commerce, vente",Spécialités plurivalentes des échanges et de la gestion,466,1.5649136946739202,228.27083333333334
Autres...,Formations générales,430,1.4440190744845187,261.84313725490193
"Commerce, vente",Formations générales,430,1.4440190744845187,211.4516129032258
"Enseignement, formation",Formations générales,415,1.393646316072268,333.2391304347826
"Commerce, vente","Finances, banque, assurances",406,1.3634226610249176,374.22727272727275
"Enseignement, formation",Santé,402,1.3499899254483174,396.4074074074074
Développement des capacités comportementales et relationnelles,"Enseignement, formation",375,1.2593189603062664,314.44444444444446
"Commerce, vente","Informatique, traitement de l'information, réseaux de transmission des données",374,1.2559607764121163,160.43243243243242
"Informatique, traitement de l'information, réseaux de transmission des données","Secrétariat, bureautique",371,1.2458862247296663,119.075
"Comptabilité, gestion","Finances, banque, assurances",344,1.155215259587615,443.15384615384613
"Commerce, vente","Enseignement, formation",325,1.0914097655987642,325.1363636363636
Autres...,"Enseignement, formation",319,1.0712606622338638,198.7037037037037
Formations générales,"Ressources humaines, gestion du personnel, gestion de l'emploi",318,1.067902478339714,281.6792452830189
"Enseignement, formation","Ressources humaines, gestion du personnel, gestion de l'emploi",313,1.0511115588689637,292.0217391304348
Autres...,"Commerce, vente",298,1.000738800456713,244.75
"Comptabilité, gestion","Secrétariat, bureautique",295,0.990664248774263,110.13636363636364
"Comptabilité, gestion","Informatique, traitement de l'information, réseaux de transmission des données",290,0.9738733293035127,203.3272727272727
Santé,Travail social,286,0.9604405937269125,303.3181818181818
"Ressources humaines, gestion du personnel, gestion de l'emploi","Secrétariat, bureautique",280,0.9402914903620121,155.55769230769232
Développement des capacités comportementales et relationnelles,Formations générales,275,0.923500570891262,241.52727272727273
"Commerce, vente",Spécialités plurivalentes de la communication,274,0.9201423869971119,131.55
Développement des capacités comportementales et relationnelles,Développement des capacités mentales et apprentissages de base,271,0.9100678353146618,240.91666666666666
"Agro-alimentaire, alimentation, cuisine","Commerce, vente",270,0.9067096514205117,288.89473684210526
Formations générales,"Langues vivantes, civilisations étrangères et régionales",266,0.8932769158439116,164.6451612903226
Formations générales,"Sécurité des biens et des personnes, police, surveillance",265,0.8899187319497616,541.8305084745763
Autres...,"Informatique, traitement de l'information, réseaux de transmission des données",264,0.8865605480556116,96.26923076923077
Autres...,Développement des capacités comportementales et relationnelles,260,0.8731278124790114,275.4375
"Commerce, vente","Secrétariat, bureautique",254,0.8529787091141111,133.58333333333334
"Informatique, traitement de l'information, réseaux de transmission des données","Ressources humaines, gestion du personnel, gestion de l'emploi",253,0.849620525219961,226.17857142857142
Formations générales,"Transport, manutention, magasinage",251,0.842904157431661,434.4347826086956
"Développement des capacités d'orientation, d'insertion ou de réinsertion sociales et professionnelles","Ressources humaines, gestion du personnel, gestion de l'emploi",251,0.842904157431661,158.38636363636363
Formations générales,Santé,245,0.8227550540667606,376.6744186046512
Formations générales,"Informatique, traitement de l'information, réseaux de transmission des données",242,0.8126805023843106,182.41176470588235
"Electricité, électronique (non compris automatisme et productique)","Transport, manutention, magasinage",241,0.8093223184901605,923.8666666666667
"Informatique, traitement de l'information, réseaux de transmission des données",Spécialités plurivalentes de la communication,234,0.7858150312311102,221.3793103448276
"Sécurité des biens et des personnes, police, surveillance","Transport, manutention, magasinage",227,0.7623077439720599,882.2619047619048
"Commerce, vente",Journalisme et communication,216,0.7253677211364095,139.71428571428572
Santé,"Sécurité des biens et des personnes, police, surveillance",210,0.7052186177715092,377.26666666666665
"Ressources humaines, gestion du personnel, gestion de l'emploi",Spécialités plurivalentes des échanges et de la gestion,206,0.691785882194909,151.65625
"Français, littérature et civilisation françaises","Langues vivantes, civilisations étrangères et régionales",203,0.6817113305124588,167.0909090909091
Santé,Spécialités plurivalentes sanitaires et sociales,202,0.6783531466183088,200.28571428571428
"Droit, sciences politiques","Ressources humaines, gestion du personnel, gestion de l'emploi",201,0.6749949627241587,300.625
"Ressources humaines, gestion du personnel, gestion de l'emploi",Spécialités plurivalentes de la communication,199,0.6682785949358586,151.56410256410257
Spécialités plurivalentes de la communication,Spécialités plurivalentes des échanges et de la gestion,198,0.6649204110417086,180.44827586206895
"Enseignement, formation",Travail social,198,0.6649204110417086,202.72727272727272
"Enseignement, formation","Sécurité des biens et des personnes, police, surveillance",195,0.6548458593592585,713.3939393939394
Développement des capacités comportementales et relationnelles,Santé,195,0.6548458593592585,168.0
"Commerce, vente","Langues vivantes, civilisations étrangères et régionales",192,0.6447713076768083,275.4594594594595
"Commerce, vente","Transport, manutention, magasinage",191,0.6414131237826584,344.8
Développement des capacités individuelles d'organisation,"Ressources humaines, gestion du personnel, gestion de l'emploi",189,0.6346967559943583,305.2083333333333
"Comptabilité, gestion",Spécialités plurivalentes des échanges et de la gestion,188,0.6313385721002083,226.30434782608697
"Comptabilité, gestion",Formations générales,187,0.6279803882060582,130.09677419354838
"Enseignement, formation","Informatique, traitement de l'information, réseaux de transmission des données",187,0.6279803882060582,118.11111111111111
"Enseignement, formation","Transport, manutention, magasinage",181,0.6078312848411579,526.55
Formations générales,Linguistique,177,0.5943985492645578,292.3157894736842
Autres...,"Ressources humaines, gestion du personnel, gestion de l'emploi",172,0.5776076297938075,139.16
Autres...,"Sécurité des biens et des personnes, police, surveillance",171,0.5742494458996575,531.84375
Spécialités plurivalentes sanitaires et sociales,Travail social,170,0.5708912620055074,326.3529411764706
"Productions animales, élevage spécialisé, aquaculture, ...","Productions végétales,cultures spécialisées",167,0.5608167103230574,171.42857142857142
"Productions végétales,cultures spécialisées",Spécialités plurivalentes de l'agronomie et de l'agriculture,166,0.5574585264289073,224.4
"Développement des capacités d'orientation, d'insertion ou de réinsertion sociales et professionnelles",Formations générales,165,0.5541003425347573,199.51724137931035
"Productions animales, élevage spécialisé, aquaculture, ...",Spécialités plurivalentes de l'agronomie et de l'agriculture,164,0.5507421586406072,296.4
Autres...,Santé,163,0.5473839747464572,244.6315789473684
Psychologie,Santé,162,0.5440257908523071,213.625
"Enseignement, formation","Langues vivantes, civilisations étrangères et régionales",161,0.5406676069581571,131.25
"Ressources humaines, gestion du personnel, gestion de l'emploi",Santé,161,0.5406676069581571,301.0740740740741
"Coiffure, esthétique et autres spécialités des services aux personnes",Formations générales,160,0.537309423064007,325.32
"Agro-alimentaire, alimentation, cuisine",Formations générales,158,0.5305930552757069,167.67857142857142
"Développement des capacités d'orientation, d'insertion ou de réinsertion sociales et professionnelles",Développement des capacités individuelles d'organisation,157,0.5272348713815569,161.25
Bâtiment: construction et couverture,Bâtiment: finitions,155,0.5205185035932568,274.94117647058823
"Droit, sciences politiques",Economie,153,0.5138021358049567,135.0
Développement des capacités comportementales et relationnelles,"Vie familiale, vie sociale et autres formations au développement personnel",153,0.5138021358049567,100.25
"Développement des capacités d'orientation, d'insertion ou de réinsertion sociales et professionnelles","Enseignement, formation",153,0.5138021358049567,164.58333333333334
"Comptabilité, gestion","Droit, sciences politiques",150,0.5037275841225065,197.77777777777777
Formations générales,Spécialités plurivalentes des échanges et de la gestion,147,0.4936530324400564,157.375
"Commerce, vente",Spécialités plurivalentes des services,146,0.4902948485459063,168.6
Journalisme et communication,Spécialités plurivalentes de la communication,144,0.48357848075760623,160.75
"Electricité, électronique (non compris automatisme et productique)","Sécurité des biens et des personnes, police, surveillance",142,0.47686211296930614,740.9736842105264
Formations générales,"Secrétariat, bureautique",141,0.47350392907515615,148.3548387096774
