region,total_of,certified_of,certification_rate,avg_stagiaires
Autre (905),2,1,0.5000,362.50
Auvergne-Rhône-Alpes,2280,1603,0.7031,259.42
Bourgogne-Franche-Comté,490,333,0.6796,226.79
Bretagne,662,468,0.7069,197.42
Centre-Val de Loire,420,306,0.7286,237.50
Corse,65,53,0.8154,163.23
Grand Est,1040,747,0.7183,223.26
Guadeloupe,128,92,0.7188,135.46
Guyane,55,33,0.6000,255.87
Hauts-de-France,898,653,0.7272,263.67
La Réunion,242,176,0.7273,129.16
Martinique,114,85,0.7456,130.40
Mayotte,36,30,0.8333,230.53
Normandie,532,382,0.7180,202.86
Nouvelle-Aquitaine,1346,955,0.7095,193.03
Occitanie,1680,1164,0.6929,234.80
Pays de la Loire,867,628,0.7243,217.93
Provence-Alpes-Côte d'Azur,1489,1078,0.7240,198.13
Île-de-France,5151,3504,0.6803,275.08
