region,year,of_tam
Autre (905),2023,0
Autre (905),2024,1
Autre (905),2025,1
Auvergne-Rhône-Alpes,2023,2
Auvergne-Rhône-Alpes,2024,200
Auvergne-Rhône-Alpes,2025,1997
Bourgogne-Franche-Comté,2023,0
Bourgogne-Franche-Comté,2024,43
Bourgogne-Franche-Comté,2025,439
Bretagne,2023,0
Bretagne,2024,39
Bretagne,2025,598
Centre-Val de Loire,2023,0
Centre-Val de Loire,2024,25
Centre-Val de Loire,2025,377
Corse,2023,0
Corse,2024,2
Corse,2025,63
Grand Est,2023,0
Grand Est,2024,79
Grand Est,2025,944
Guadeloupe,2023,0
Guadeloupe,2024,12
Guadeloupe,2025,111
Guyane,2023,2
Guyane,2024,7
Guyane,2025,45
Hauts-de-France,2023,0
Hauts-de-France,2024,66
Hauts-de-France,2025,791
La Réunion,2023,0
La Réunion,2024,11
La Réunion,2025,222
Martinique,2023,0
Martinique,2024,10
Martinique,2025,102
Mayotte,2023,0
Mayotte,2024,0
Mayotte,2025,34
Normandie,2023,0
Normandie,2024,39
Normandie,2025,470
Nouvelle-Aquitaine,2023,0
Nouvelle-Aquitaine,2024,110
Nouvelle-Aquitaine,2025,1166
Occitanie,2023,1
Occitanie,2024,106
Occitanie,2025,1497
Pays de la Loire,2023,0
Pays de la Loire,2024,83
Pays de la Loire,2025,752
Provence-Alpes-Côte d'Azur,2023,0
Provence-Alpes-Côte d'Azur,2024,59
Provence-Alpes-Côte d'Azur,2025,1387
Île-de-France,2023,0
Île-de-France,2024,511
Île-de-France,2025,4474
