codeRegion,region,of_tam_total,of_sans_cp,pct_sans_cp
905,Autres DOM-TOM,1,0,0.0
84,Auvergne-Rhône-Alpes,1601,701,43.8
27,Bourgogne-Franche-Comté,335,132,39.4
53,Bretagne,468,179,38.2
24,Centre-Val de Loire,306,116,37.9
94,Corse,54,3,5.6
44,Grand Est,752,322,42.8
1,Guadeloupe,91,12,13.2
3,Guyane,33,9,27.3
32,Hauts-de-France,653,336,51.5
4,La Réunion,184,78,42.4
2,Martinique,85,26,30.6
6,Mayotte,30,10,33.3
28,Normandie,383,179,46.7
75,Nouvelle-Aquitaine,955,441,46.2
76,Occitanie,1167,416,35.6
52,Pays de la Loire,629,364,57.9
93,Provence-Alpes-Côte d'Azur,1075,473,44.0
11,Île-de-France,3501,1538,43.9
