numeroDeclarationActivite,denomination,region,effectifFormateurs,stagiaires,production_estimee,macro_theme,multi_cert
1.1755998875E10,10MENTIONWEB FORMATION,Île-de-France,6,65,12.27,Tech/Digital,Non
3.2591213359E10,123 FORMATION,Hauts-de-France,6,413,13.72,Commerce/Gestion,Non
9.3132033913E10,1MAIN FORMATION,Provence-Alpes-Côte d'Azur,6,113,12.47,Santé,Non
8.2730110173E10,1'PULSER,Auvergne-Rhône-Alpes,6,306,13.28,Commerce/Gestion,Non
2.6710242771E10,45679.0,Bourgogne-Franche-Comté,6,159,12.66,Soft Skills,Non
7.3310773931E10,2A ACCOMPAGNER AUTREMENT SAS,Occitanie,6,417,13.74,Soft Skills,Non
7.6660207566E10,2A FORMATION,Occitanie,6,508,14.12,Soft Skills,Non
1.1930771193E10,2PJFORMATION,Île-de-France,6,660,14.75,Services,Non
7.5160130816E10,3 2 1... PERMIS,Nouvelle-Aquitaine,6,433,13.80,Soft Skills,Non
9.3131524113E10,3D INGENIERIE SYSTEMES,Provence-Alpes-Côte d'Azur,6,92,12.38,Industrie,Non
1.1756246475E10,3I SCHOOL,Île-de-France,6,47,12.20,Tech/Digital,Non
8.2380255938E10,40-30,Auvergne-Rhône-Alpes,6,61,12.25,Industrie,Non
2.7210375121E10,4LIFE,Bourgogne-Franche-Comté,6,148,12.62,Autre,Non
1.1756741675E10,5 LEGGED SHEEP',Île-de-France,6,9,12.04,Autre,Non
1.1755552875E10,6-PM,Île-de-France,6,187,12.78,Autre,Non
5.3290952629E10,A2E,Bretagne,6,11,12.05,Soft Skills,Non
5.2440625744E10,A2SE CONSEIL,Pays de la Loire,6,1007,16.20,Autre,Non
2.5140108614E10,ABC CAEN INFORMATIQUE,Normandie,6,379,13.58,Langues,Non
7.6311054831E10,ABCDZ SAS,Occitanie,6,96,12.40,Autre,Oui
4.973338397E9,AB FORMATION,La Réunion,6,230,12.96,Services,Non
9.3131442713E10,AB SUD FORMATION,Provence-Alpes-Côte d'Azur,6,680,14.83,Sécurité,Non
2.6210090721E10,ACADEMIE DE SOPHROLOGIE,Bourgogne-Franche-Comté,6,150,12.62,Soft Skills,Non
3.1590905559E10,ACADEMIE DES PROS,Hauts-de-France,6,1512,18.30,Commerce/Gestion,Non
8.2690908169E10,ACADEMIE LYONNAISE DU TAXI  - -ADAM TAXI LYONNAIS,Auvergne-Rhône-Alpes,6,16,12.07,Services,Non
7.6310959631E10,ACADEMIE NUMERIQUE DU XXI SIECLE ASSOCIATION,Occitanie,6,17,12.07,Tech/Digital,Oui
1.1756740175E10,ACADEMIS,Île-de-France,6,55,12.23,Industrie,Oui
5.3220907122E10,ACA-DM,Bretagne,6,153,12.64,Santé,Non
2.973192797E9,ACCEPT,Martinique,6,248,13.03,Autre,Oui
8.2690386969E10,ACCOMPAGNER GRESP,Auvergne-Rhône-Alpes,6,26,12.11,Santé,Non
7.2640261064E10,ACCOMP MAINTIEN DEVELOP ENT RURALITE,Nouvelle-Aquitaine,6,183,12.76,Autre,Non
4.973188597E9,ACE (apprentissage de la conduite européenne),La Réunion,6,97,12.40,Soft Skills,Non
9.3131407113E10,ACILE FORMATION,Provence-Alpes-Côte d'Azur,6,577,14.40,Industrie,Non
5.2490384749E10,ACT,Pays de la Loire,6,163,12.68,Services,Non
3.1590833959E10,ACTI FORMATION EURL,Hauts-de-France,6,40,12.17,Autre,Non
1.1950520095E10,ACTION,Île-de-France,6,142,12.59,Langues,Non
9.3830701983E10,ACTION PREVENTION DES RISQUES PROFESSIONNELS,Provence-Alpes-Côte d'Azur,6,221,12.92,Industrie,Non
7.3120029112E10,ACTIONS FORMATIONS SARL,Occitanie,6,756,15.15,Santé,Non
9.3060624606E10,ACTIVMEDIA GLOBAL SYNERGY,Provence-Alpes-Côte d'Azur,6,54,12.22,Autre,Oui
1.1922559592E10,ACT-ON STRATEGY,Île-de-France,6,83,12.35,Soft Skills,Non
5.3560923356E10,ACT PLUS CONSULTING,Bretagne,6,755,15.15,Soft Skills,Non
5.3350483335E10,"ADAGE (AGRICULTURE DURABLE PAR L'AUTONOMIE, GESTION,ENVIRON.)",Bretagne,6,165,12.69,Autre,Non
5.2440781544E10,ADALGO,Pays de la Loire,6,174,12.72,Tech/Digital,Non
2.4450287745E10,AD ARBOREM ORLEANS -  SARL,Centre-Val de Loire,6,1076,16.48,Soft Skills,Oui
1.1930784493E10,ADAR CONSEIL,Île-de-France,6,155,12.65,Autre,Non
8.2380567438E10,ADDEAR 38 (ASS. DEPART. DEVELOP EMPLOI AGRICOLE ET RURAL),Auvergne-Rhône-Alpes,6,33,12.14,Commerce/Gestion,Non
