region,effectif,macro_theme,tam_base,tam_final
Autres DOM-TOM,9,Autre,1,0.7
Auvergne-Rhône-Alpes,3,Autre,86,60.2
Auvergne-Rhône-Alpes,3,Commerce/Gestion,40,28.0
Auvergne-Rhône-Alpes,3,Industrie,30,21.0
Auvergne-Rhône-Alpes,3,Juridique,14,9.8
Auvergne-Rhône-Alpes,3,Langues,14,9.8
Auvergne-Rhône-Alpes,3,Santé,27,18.9
Auvergne-Rhône-Alpes,3,Services,36,25.2
Auvergne-Rhône-Alpes,3,Soft Skills,78,54.6
Auvergne-Rhône-Alpes,3,Sécurité,18,12.6
Auvergne-Rhône-Alpes,3,Tech/Digital,28,19.6
Auvergne-Rhône-Alpes,4,Autre,76,53.2
Auvergne-Rhône-Alpes,4,Commerce/Gestion,32,22.4
Auvergne-Rhône-Alpes,4,Industrie,34,23.8
Auvergne-Rhône-Alpes,4,Juridique,4,2.8
Auvergne-Rhône-Alpes,4,Langues,21,14.7
Auvergne-Rhône-Alpes,4,Santé,21,14.7
Auvergne-Rhône-Alpes,4,Services,29,20.3
Auvergne-Rhône-Alpes,4,Soft Skills,67,46.9
Auvergne-Rhône-Alpes,4,Sécurité,5,3.5
Auvergne-Rhône-Alpes,4,Tech/Digital,23,16.1
Auvergne-Rhône-Alpes,5,Autre,72,50.4
Auvergne-Rhône-Alpes,5,Commerce/Gestion,26,18.2
Auvergne-Rhône-Alpes,5,Industrie,25,17.5
Auvergne-Rhône-Alpes,5,Juridique,8,5.6
Auvergne-Rhône-Alpes,5,Langues,9,6.3
Auvergne-Rhône-Alpes,5,Santé,21,14.7
Auvergne-Rhône-Alpes,5,Services,27,18.9
Auvergne-Rhône-Alpes,5,Soft Skills,50,35.0
Auvergne-Rhône-Alpes,5,Sécurité,9,6.3
Auvergne-Rhône-Alpes,5,Tech/Digital,10,7.0
Auvergne-Rhône-Alpes,6,Autre,52,36.4
Auvergne-Rhône-Alpes,6,Commerce/Gestion,15,10.5
Auvergne-Rhône-Alpes,6,Industrie,22,15.4
Auvergne-Rhône-Alpes,6,Juridique,3,2.1
Auvergne-Rhône-Alpes,6,Langues,5,3.5
Auvergne-Rhône-Alpes,6,Santé,24,16.8
Auvergne-Rhône-Alpes,6,Services,21,14.7
Auvergne-Rhône-Alpes,6,Soft Skills,34,23.8
Auvergne-Rhône-Alpes,6,Sécurité,4,2.8
Auvergne-Rhône-Alpes,6,Tech/Digital,9,6.3
Auvergne-Rhône-Alpes,7,Autre,32,22.4
Auvergne-Rhône-Alpes,7,Commerce/Gestion,14,9.8
Auvergne-Rhône-Alpes,7,Industrie,13,9.1
Auvergne-Rhône-Alpes,7,Juridique,4,2.8
Auvergne-Rhône-Alpes,7,Langues,4,2.8
Auvergne-Rhône-Alpes,7,Santé,12,8.4
Auvergne-Rhône-Alpes,7,Services,22,15.4
Auvergne-Rhône-Alpes,7,Soft Skills,21,14.7
Auvergne-Rhône-Alpes,7,Sécurité,4,2.8
Auvergne-Rhône-Alpes,7,Tech/Digital,8,5.6
Auvergne-Rhône-Alpes,8,Autre,35,24.5
Auvergne-Rhône-Alpes,8,Commerce/Gestion,11,7.7
Auvergne-Rhône-Alpes,8,Industrie,14,9.8
Auvergne-Rhône-Alpes,8,Juridique,2,1.4
Auvergne-Rhône-Alpes,8,Langues,6,4.2
Auvergne-Rhône-Alpes,8,Santé,17,11.9
Auvergne-Rhône-Alpes,8,Services,20,14.0
Auvergne-Rhône-Alpes,8,Soft Skills,15,10.5
Auvergne-Rhône-Alpes,8,Sécurité,3,2.1
Auvergne-Rhône-Alpes,8,Tech/Digital,10,7.0
Auvergne-Rhône-Alpes,9,Autre,27,18.9
Auvergne-Rhône-Alpes,9,Commerce/Gestion,9,6.3
Auvergne-Rhône-Alpes,9,Industrie,8,5.6
Auvergne-Rhône-Alpes,9,Juridique,3,2.1
Auvergne-Rhône-Alpes,9,Langues,7,4.9
Auvergne-Rhône-Alpes,9,Santé,10,7.0
Auvergne-Rhône-Alpes,9,Services,11,7.7
Auvergne-Rhône-Alpes,9,Soft Skills,18,12.6
Auvergne-Rhône-Alpes,9,Sécurité,6,4.2
Auvergne-Rhône-Alpes,9,Tech/Digital,6,4.2
Auvergne-Rhône-Alpes,10,Autre,26,18.2
Auvergne-Rhône-Alpes,10,Commerce/Gestion,10,7.0
Auvergne-Rhône-Alpes,10,Industrie,7,4.9
Auvergne-Rhône-Alpes,10,Juridique,2,1.4
Auvergne-Rhône-Alpes,10,Langues,9,6.3
Auvergne-Rhône-Alpes,10,Santé,11,7.7
Auvergne-Rhône-Alpes,10,Services,12,8.4
Auvergne-Rhône-Alpes,10,Soft Skills,13,9.1
Auvergne-Rhône-Alpes,10,Sécurité,2,1.4
Auvergne-Rhône-Alpes,10,Tech/Digital,8,5.6
