Month,New_clients,Referrals,Churn,Total_clients,MRR,ARR,TAM_penetration,Leads_required,Marketing_budget,Salespeople,Salary_cost,Total_costs
1,39.0000,0.0000,0.0000,39.0000,11661.00,139932.00,0.004529,260,18200.00,2,8000.00,26200.00
2,41.0000,1.9500,0.7800,81.1700,24269.83,291237.96,0.009425,274,19180.00,2,8000.00,27180.00
3,43.0000,2.0500,1.6234,124.5966,37254.38,447052.60,0.014468,287,20090.00,3,12000.00,32090.00
4,45.0000,2.1500,2.4919,169.2547,50607.15,607285.75,0.019653,300,21000.00,3,12000.00,33000.00
5,47.0000,2.2500,3.3851,215.1196,64320.75,771849.03,0.024979,314,21980.00,3,12000.00,33980.00
6,49.0000,2.3500,4.3024,262.1672,78387.99,940655.85,0.030442,327,22890.00,3,12000.00,34890.00
7,45.0000,2.4500,5.2433,304.3738,91007.78,1092093.34,0.035343,300,21000.00,4,16000.00,37000.00
8,45.0000,2.2500,6.0875,345.5364,103315.37,1239784.47,0.040123,300,21000.00,4,16000.00,37000.00
9,45.0000,2.2500,6.9107,385.8756,115376.81,1384521.78,0.044807,300,21000.00,4,16000.00,37000.00
10,42.0000,2.2500,7.7175,422.4081,126300.03,1515600.34,0.049049,280,19600.00,4,16000.00,35600.00
11,44.0000,2.1000,8.4482,460.0600,137557.93,1650695.14,0.053421,294,20580.00,4,16000.00,36580.00
12,44.0000,2.2000,9.2012,497.0588,148620.57,1783446.83,0.057717,294,20580.00,4,16000.00,36580.00
