numeroDeclarationActivite,denomination,region,categories_soft,nb_stagiaires,effectif_formateurs,production_estimee
1.1931024793E10,100% HANDINAMIQUE POUR LA REUSSITE DES JEUNES HANDICAPES (100% HANDINAMIQUE),Île-de-France,Comportementales,199,3,6.83
7.6311112231E10,"1, 2, 3, FACILITEZ !",Occitanie,Comportementales,81,3,6.34
2.4360090236E10,1FOGENIE,Centre-Val de Loire,Comportementales,39,3,6.16
4.4520045952E10,2A,Grand Est,Comportementales,48,3,6.20
5.3560854556E10,360 RH,Bretagne,Orientation,61,3,6.25
8.4070127207E10,600 phenix,Auvergne-Rhône-Alpes,"RH gestion, Comportementales",58,3,6.24
2.8760651276E10,6H EVOLUTION,Normandie,Comportementales,78,3,6.33
2.550008155E10,AAJD,Normandie,Enseignement,600,3,8.50
9.3131729813E10,ABC AMBITIONS,Provence-Alpes-Côte d'Azur,Orientation,24,3,6.10
5.3351137335E10,ABC CONDUITE,Bretagne,Enseignement,125,3,6.52
1.1911020891E10,ABD FORMATION,Île-de-France,Enseignement,207,3,6.86
1.1788360578E10,ABID&CO,Île-de-France,Enseignement,166,3,6.69
1.1757211475E10,ACCOMPAGNEMENT ETC,Île-de-France,Comportementales,27,3,6.11
5.3290918429E10,ACCOMPAGNEMENT PERSONNALISE EN SECURITE INDIVIDUELLE (APSI),Bretagne,Enseignement,617,3,8.57
4.3250240725E10,ACILONE,Bourgogne-Franche-Comté,Comportementales,28,3,6.12
7.6341169134E10,ACPR OCCITANIE SARL,Occitanie,Comportementales,45,3,6.19
7.5640496264E10,ACTE FORMATION,Nouvelle-Aquitaine,Comportementales,16,3,6.07
1.1950170695E10,"Action Locale pour l'Initiative, la Création et l'Emploi",Île-de-France,Orientation,20,3,6.08
4.2670317567E10,ACTIONS RH,Grand Est,"Comportementales, Orientation",28,3,6.12
1.1950873795E10,ACTUALNESS TRAINING,Île-de-France,Enseignement,17,3,6.07
8.2380513838E10,ad aliis,Auvergne-Rhône-Alpes,Comportementales,2196,3,15.15
5.3350430235E10,ADEQUATION CARRIERES ET COMPE TENCES,Bretagne,"RH gestion, Orientation",80,3,6.33
8.2260185926E10,ADJECTIF CONSEIL,Auvergne-Rhône-Alpes,"RH gestion, Comportementales",59,3,6.25
7.6660243266E10,ADLIB PEOPLE,Occitanie,Comportementales,158,3,6.66
9.3131923113E10,ADV SARL,Provence-Alpes-Côte d'Azur,Enseignement,43,3,6.18
2.7710309171E10,A.E. CAMPUS,Bourgogne-Franche-Comté,Enseignement,93,3,6.39
4.973266597E9,AE DYNAMIK CONDUITE,La Réunion,Enseignement,114,3,6.47
8.4630538163E10,A.E. LES RAMACLES,Auvergne-Rhône-Alpes,Enseignement,160,3,6.67
1.1770859977E10,AEM 77,Île-de-France,Enseignement,47,3,6.20
1.1756508375E10,"AFFEA ACADEMIE FRANCOPHONE DE LA FORMATION, DE L'ENSEIGNEMENT ET DE L'ACCOMPAGNEMENT",Île-de-France,"Enseignement, Comportementales",154,3,6.64
4.4570435857E10,A.F.P. ACCOMPAGNEMENT FORMATION PERSONNALISEE,Grand Est,Enseignement,654,3,8.72
1.1756607175E10,AFRIKAN CAMPUS ACADEMY,Île-de-France,Enseignement,65,3,6.27
8.4730237473E10,AGENCE AIX-LES-BAINS RIVIERA DES ALPES,Auvergne-Rhône-Alpes,Comportementales,74,3,6.31
5.2490329249E10,AGEPIA,Pays de la Loire,RH gestion,3,3,6.01
8.4692212869E10,AGORA DAZIBAO,Auvergne-Rhône-Alpes,Enseignement,276,3,7.15
1.1941061494E10,AH PERMIS,Île-de-France,Enseignement,204,3,6.85
4.4670621367E10,AIKI CONSEIL GO4HUMAN,Grand Est,Orientation,258,3,7.08
2.4280193828E10,AJD-&CO,Centre-Val de Loire,Comportementales,5,3,6.02
1.1922657892E10,AK CONDUITE,Île-de-France,Enseignement,224,3,6.93
3.2590963659E10,AKD CONSEIL ET FORMATION,Hauts-de-France,RH gestion,37,3,6.15
9.3840393384E10,ALAIN GRANGER,Provence-Alpes-Côte d'Azur,Enseignement,32,3,6.13
7.5331216633E10,ALANUI COACHING & MEDIATION,Nouvelle-Aquitaine,"Comportementales, Orientation",183,3,6.76
1.1922623692E10,ALBACOMBEE,Île-de-France,RH gestion,38,3,6.16
7.3310744031E10,ALCYONE ACCOMPAGNEMENTS & CONSEILS,Occitanie,"Enseignement, Comportementales",64,3,6.27
4.4670732467E10,ALEIS CONSEIL,Grand Est,RH gestion,125,3,6.52
5.2440556244E10,ALESSIA RH,Pays de la Loire,"Comportementales, Orientation",65,3,6.27
9.7970117897E10,ALIZES RH SARL,Martinique,RH gestion,90,3,6.38
1.1950826395E10,ALL FORMATIONS,Île-de-France,Enseignement,13,3,6.05
5.3220860522E10,ALLIENCE BRETAGNE,Bretagne,RH gestion,141,3,6.59
1.1921831792E10,ALL  POSITIVE,Île-de-France,Comportementales,105,3,6.44
5.3560945456E10,ALORIZON,Bretagne,Orientation,10,3,6.04
9.3131764413E10,ALPHA SECOURISME,Provence-Alpes-Côte d'Azur,Enseignement,189,3,6.79
8.2690951269E10,ALTIPLANO FORMATION,Auvergne-Rhône-Alpes,RH gestion,15,3,6.06
1.1940904194E10,ALTIUS CONSEIL,Île-de-France,"RH gestion, Enseignement",189,3,6.79
1.1788528278E10,A & M CONDUITE,Île-de-France,Enseignement,103,3,6.43
1.1922561392E10,AM CONDUITE,Île-de-France,Enseignement,135,3,6.56
1.1931076993E10,AMFAAL,Île-de-France,Enseignement,28,3,6.12
8.4010194301E10,AMPLITUDE INFORMATIQUE,Auvergne-Rhône-Alpes,RH gestion,44,3,6.18
7.6310946131E10,ANAGRAMME,Occitanie,Comportementales,84,3,6.35
5.2490297349E10,ANDARE CONSEIL,Pays de la Loire,Orientation,142,3,6.59
9.3131856213E10,ANEOLIS,Provence-Alpes-Côte d'Azur,Comportementales,134,3,6.56
5.2490367149E10,ANJOU PERMI'S - FOURMOND PHILIPPE STEPHANIE,Pays de la Loire,Enseignement,158,3,6.66
5.3350516135E10,ANNE SECHAUD CONSULTANTS,Bretagne,Orientation,25,3,6.10
2.280012598E10,ANNIE UHLRICH CONSEIL,Hauts-de-France,Orientation,11,3,6.05
1.1950816895E10,ANOMSEL,Île-de-France,Enseignement,168,3,6.70
9.3131755713E10,ANTI FLASH,Provence-Alpes-Côte d'Azur,Enseignement,254,3,7.06
8.4380900538E10,ANTIGONE,Auvergne-Rhône-Alpes,Comportementales,209,3,6.87
1.1930758393E10,APAP AUTO-ECOLE,Île-de-France,Enseignement,181,3,6.75
1.1931075093E10,A PERMIS,Île-de-France,Enseignement,93,3,6.39
1.1770875977E10,APSYDE,Île-de-France,Enseignement,810,3,9.38
1.1770532877E10,APTIS,Île-de-France,Comportementales,340,3,7.42
5.3290972029E10,APTITUDE(S),Bretagne,Comportementales,170,3,6.71
1.1753977775E10,ARC EN CIEL RH,Île-de-France,Comportementales,93,3,6.39
4.2670413967E10,ARC INNOVATION SAS,Grand Est,Comportementales,69,3,6.29
7.3310717031E10,ARTSCENICA ASSOCIATION,Occitanie,RH gestion,24,3,6.10
7.6311173531E10,ASAPE FORMATION SAS,Occitanie,RH gestion,44,3,6.18
9.3830418783E10,ASC COMMUNICATION,Provence-Alpes-Côte d'Azur,Comportementales,71,3,6.30
1.1756662575E10,AS CONDUITE PARIS 2,Île-de-France,Enseignement,132,3,6.55
4.410009711E10,ASER 3,Grand Est,Enseignement,62,3,6.26
1.1922683692E10,A.S FORMATION,Île-de-France,RH gestion,3,3,6.01
